LINK,CITY,title,location,price_text,PRICE_USD,area_text,CONSTRUCTION_AREA_SQM,BEDROOMS,BATHROOMS,PARKING_SPOTS,page_number,scraped_at,LATITUDE,LONGITUDE,COORDINATE_SOURCE
https://www.plusvalia.com/propiedades/proyecto/ememhoin-ferrara-ultimas-casas-con-su-propio-club-en-puembo-66404925.html,Quito,Casas desde USD 140.000,"Francisco Londoño y Cardenal de la Torre Puembo, Quito",Casas desde USD 140.000,140.0,125 m²,125.0,3.0,,,1,2026-07-28 09:12:08,,,
https://www.plusvalia.com/propiedades/proyecto/ememhoin-tumbaco-la-buena-esperanza-preciosas-casas-en-venta-147989678.html,Quito,Casas desde USD 133.500,"TUMBACO - LA BUENA ESPERANZA, PRECIOSAS CASAS EN VENTA Tumbaco, Quito",Casas desde USD 133.500,133.5,142 m²,142.0,3.0,3.0,,1,2026-07-28 09:12:08,,,
https://www.plusvalia.com/propiedades/proyecto/ememhoin-casas-independientes-de-una-sola-planta-ubicadas-en-150459936.html,Quito,Casas desde USD 156.999,"Calle Domingo Rengifo Tumbaco, Quito",Casas desde USD 156.999,156.999,199 m²,199.0,3.0,,,1,2026-07-28 09:12:09,,,
https://www.plusvalia.com/propiedades/proyecto/ememhoin-conjunto-hierbabuena-la-armenia-147908220.html,Quito,Casas desde USD 128.000,"ARMENIA La Armenia, Quito",Casas desde USD 128.000,128.0,118m2,118.0,3.0,,,1,2026-07-28 09:12:09,,,
https://www.plusvalia.com/propiedades/proyecto/ememhoin-nuevo-proyecto-de-casas-en-venta-sector-pacho-salas-148154511.html,Quito,Casas desde USD 292.500,"Pachosalas Cumbayá, Quito",Casas desde USD 292.500,292.5,470 m²,470.0,3.0,,,1,2026-07-28 09:12:09,,,
https://www.plusvalia.com/propiedades/proyecto/ememhoin-nura-casas-en-tanda-148958655.html,Quito,Casas desde USD 205.700,"tanda Cumbayá, Quito",Casas desde USD 205.700,205.7,206 m²,206.0,3.0,,,1,2026-07-28 09:12:09,,,
https://www.plusvalia.com/propiedades/proyecto/ememhoin-puembo-casas-tipo-hacienda-independientes-conjunto-147785387.html,Quito,Casas desde USD 206.000,"chiche obraje 170179 Puembo, Quito",Casas desde USD 206.000,206.0,165 m2,165.0,4.0,,,1,2026-07-28 09:12:09,,,
https://www.plusvalia.com/propiedades/proyecto/ememvein-baira-riviera-life-150405384.html,Quito,"Suites, departamentos y otros desde USD 134.901","Pacho Salas Tumbaco, Quito","Suites, departamentos y otros desde USD 134.901",,392 m²,392.0,4.0,,,1,2026-07-28 09:12:09,,,
https://www.plusvalia.com/propiedades/proyecto/ememvein-hermosas-casas-departamentos-y-suites-de-venta-en-san-150602473.html,Quito,"Suites, departamentos y otros desde USD 82.000","SAN JUAN DE CUMBAYÁ Cumbayá, Quito","Suites, departamentos y otros desde USD 82.000",,164 m²,164.0,3.0,,,1,2026-07-28 09:12:09,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-con-237-m-sup2--y-3-habitaciones-en-venta-en-la-145978299.html,Quito,USD 285.000,"De Los Claveles La Primavera, Quito",USD 285.000 USD 120 Alícuota,285.0,237 m²,237.0,3.0,3.0,2.0,1,2026-07-28 09:12:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-con-3-recamaras-en-venta-con-515-m-sup2--terreno-149508911.html,Quito,USD 380.000,"San Patricio San Patricio de Cumbayá, Quito",USD 380.000,380.0,515 m²,515.0,3.0,3.0,3.0,1,2026-07-28 09:12:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-en-tumbaco-con-posibilidad-de-ascensor-149621014.html,Quito,USD 199.000,"Casa DE Venta EN Tumbaco CON Posibilidad DE Ascensor Tumbaco, Quito",USD 199.000,199.0,283 m²,283.0,3.0,3.0,,1,2026-07-28 09:12:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-por-estrenar-verdadera-oportunidad-la-armenia-149050116.html,Quito,USD 114.999,"Casa DE Venta Verdadera Oportunidad - LA Armenia La Armenia, Quito",USD 114.999,114.999,167 m²,167.0,3.0,2.0,,1,2026-07-28 09:12:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-casa-187-m-sup2--cumbaya-santa-ines-en-conjunto-150537792.html,Quito,USD 239.999,"Cumbaya Santa Ines Cumbayá, Quito",USD 239.999,239.999,187 m²,187.0,3.0,2.0,2.0,1,2026-07-28 09:12:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-de-casa-sector-fajardo-dentro-de-urbanizacion-147887345.html,Quito,USD 155.000,"Fajardo Los Chillos, Quito",USD 155.000 USD 31 Alícuota,155.0,220 m²,220.0,3.0,2.0,2.0,1,2026-07-28 09:12:10,,,
https://www.plusvalia.com/propiedades/proyecto/ememhoin-aura-976-ultimas-10-casas-vip-con-piscina-y-bono-90792482.html,Quito,Casas desde USD 95.000,"García Moreno y José Peralta Conocoto, Quito",Casas desde USD 95.000,95.0,89 m²,89.0,3.0,,,1,2026-07-28 09:12:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-en-monteserrin-3-dorm.-en-conjunto-2-147756469.html,Quito,USD 147.000,"Amapolas y De los Claveles Monteserrín, Quito",USD 147.000 USD 80 Alícuota,147.0,165 m²,165.0,3.0,2.0,,1,2026-07-28 09:12:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-conjunto-en-venta-ponceano-sector-estadio-150508010.html,Quito,USD 140.000,"Diego Vasquez de Cepeda Y Rosa Campuzano Ponceano, Quito",USD 140.000,140.0,263 m²,263.0,3.0,3.0,2.0,1,2026-07-28 09:12:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-renta-149835173.html,Quito,USD 230.000,"Cumbaya / Tumbaco / Ruta Viva Cumbayá, Quito",USD 230.000,230.0,185 m²,185.0,2.0,2.0,2.0,1,2026-07-28 09:12:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-estrenar-vendo-75-m-sup2-.-3-dorm.-conocoto-149967650.html,Quito,USD 69.000,"Av Pichincha Conocoto, Quito",USD 69.000 USD 30 Alícuota,69.0,93 m²,93.0,3.0,2.0,1.0,1,2026-07-28 09:12:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-preciosa-casa-remodelada-la-primavera-148452942.html,Quito,USD 270.000,"La Primavera San Patricio de Cumbayá, Quito",USD 270.000 USD 180 Alícuota,270.0,196 m²,196.0,3.0,3.0,,1,2026-07-28 09:12:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-tumbaco-con-jardin-privado-amenidades-145432024.html,Quito,USD 159.000,"Tumbaco Tumbaco, Quito",USD 159.000 USD 80 Alícuota,159.0,200 m²,200.0,3.0,2.0,2.0,1,2026-07-28 09:12:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-hermosa-en-venta-150084405.html,Quito,USD 240.000,"Tumbaco La Viña, Quito",USD 240.000,240.0,224 m²,224.0,3.0,2.0,,1,2026-07-28 09:12:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-independiente-no-adosada-de-venta-en-tumbaco-149540258.html,Quito,USD 145.000,"La Morita Tumbaco, Quito",USD 145.000 USD 70 Alícuota,145.0,116 m²,116.0,3.0,2.0,2.0,1,2026-07-28 09:12:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-en-venta-casa-de-campo-o-hosteria-de-una-sola-planta-147150044.html,Quito,USD 320.000,"Pifo Pifo, Quito",USD 320.000,320.0,1250 m²,1250.0,7.0,8.0,,1,2026-07-28 09:12:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-exclusiva-casa-esquinera-de-venta-entrega-inmediata-144883113.html,Quito,USD 249.090,"Calle Joaquín Castro S3-115 y González Súarez Tumbaco, Quito",USD 249.090,249.09,239 m²,239.0,3.0,2.0,2.0,1,2026-07-28 09:12:12,,,
